,0
MRNA,1.46740790478867
CEG,1.3485675490430107
ENPH,0.9427042252569229
CARR,0.8047759921121274
TSLA,0.777639771087038
SEDG,0.7396353093681067
CZR,0.6146944453876841
PAYC,0.5893385292136546
MNST,0.5677515980240653
NFLX,0.513537914166001
NVDA,0.505166945068583
EPAM,0.4867521467150524
NOW,0.46586220562073977
FTNT,0.4413782084731386
REGN,0.42057118364632706
AVGO,0.41918252371950504
FANG,0.4135064947616174
DXCM,0.4116829130547681
GNRC,0.41002700691955796
ANET,0.3990059901446745
ODFL,0.39725689877759573
ISRG,0.39637532132314557
MA,0.3884631089343804
CF,0.3793980179079959
MPWR,0.378904504824759
PENN,0.3763080657120088
ETSY,0.37417186636756794
AAPL,0.37044722455976564
TSCO,0.36501798482895653
ALGN,0.3612697782326335
KMX,0.35644752749341535
SBAC,0.35069626892497885
TDG,0.34739357648287994
NXPI,0.34690731271066677
CRM,0.3438467382801891
CTVA,0.34280157725852844
DPZ,0.3414494447982035
ULTA,0.3404936652193633
CDW,0.3365249590192039
CNC,0.33554023493591867
